"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка логина с негативным логином и паролем","0","Проверка логина с невалидными логином и паролем","SauceDemo suite","2026-06-10","unknown","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNegativeCred"
"Проверка checkout с пустой фамилией","1180","Проверка checkout с пустым полем Фамилии","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Edge","tests.CheckoutInfoTest","checkCheckoutWithEmptyLastName"
"Проверка корзины после добавления товара","1259","Проверка товара, который был добавлен в корзину","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CartTest","Chrome","tests.CartTest","checkCart"
"Проверка overview с корректными данными для заказа","1317","Проверка overview с корректными данными для заказа","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Edge","tests.CheckoutOverviewTest","checkOrderCompleteButton"
"Проверка отмены на overview page","1839","Проверка отмены на overview page","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Edge","tests.CheckoutOverviewTest","checkOrderCancel"
"","1633","Проверка логирования + добавления товара + оформления заказа","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.EndToEndTest","Chrome","tests.EndToEndTest","checkEndToEndTest"
"Проверка логина с негативным логином и паролем","1","Проверка логина с невалидными логином и паролем","SauceDemo suite","2026-06-10","unknown","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCred"
"Проверка логина с негативным логином и паролем","519","Проверка логина с пустым именем","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUserName"
"Проверка выполнения logout","1020","Проверка, что logout выполнен","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LogoutTest","Edge","tests.LogoutTest","checkLogout"
"Проверка логина с позитивным логином и паролем","846","Проверка логина с позитивным логином и паролем","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка checkout с пустым Именем","1123","Проверка checkout с пустым Именем","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Edge","tests.CheckoutInfoTest","checkCheckoutWithEmptyFirstName"
"Проверка удаления товара из корзины","872","Товар из корзины удаляется","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.RemoveFromCartTest","Edge","tests.RemoveFromCartTest","checkRemoveProductFromCart"
"","517","checkLoginWithNegativeCred1","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCred1"
"Проверка overview с корректными данными для заказа","1062","Проверка overview с корректными данными для заказа","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Chrome","tests.CheckoutOverviewTest","checkOrderCompleteButton"
"Проверка отмены на overview page","1175","Проверка отмены на overview page","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Chrome","tests.CheckoutOverviewTest","checkOrderCancel"
"","757","checkLoginWithNegativeCred1","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNegativeCred1"
"Проверка checkout с пустым полем код","1119","Проверка checkout с пустым полем Код","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Edge","tests.CheckoutInfoTest","checkCheckoutWithEmptyPostalCode"
"Проверка checkout с пустым Именем","1050","Проверка checkout с пустым Именем","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Chrome","tests.CheckoutInfoTest","checkCheckoutWithEmptyFirstName"
"Проверка удаления товара из корзины","1234","Товар из корзины удаляется","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.RemoveFromCartTest","Chrome","tests.RemoveFromCartTest","checkRemoveProductFromCart"
"Проверка логина с пустым паролем","2128","Проверка логина с пустым паролем","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithEmptyPassword"
