"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка логина с пустым паролем","5121","Проверка логина с пустым паролем","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка отмены на overview page","1244","Проверка отмены на overview page","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Chrome","tests.CheckoutOverviewTest","checkOrderCancel"
"Проверка удаления товара из корзины","844","Товар из корзины удаляется","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.RemoveFromCartTest","Chrome","tests.RemoveFromCartTest","checkRemoveProductFromCart"
"Проверка checkout с пустой фамилией","1170","Проверка checkout с пустым полем Фамилии","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Chrome","tests.CheckoutInfoTest","checkCheckoutWithEmptyLastName"
"Проверка checkout с пустым Именем","1100","Проверка checkout с пустым Именем","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Chrome","tests.CheckoutInfoTest","checkCheckoutWithEmptyFirstName"
"","1145","Проверка логирования + добавления товара + оформления заказа","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.EndToEndTest","Chrome","tests.EndToEndTest","checkEndToEndTest"
"Проверка checkout с позитивным Именем, Фамилией и кодом","1063","Проверка checkout с позитивным Именем, Фамилией и кодом","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Chrome","tests.CheckoutInfoTest","checkPositiveCheckout"
"Проверка логина с негативным логином и паролем","3","Проверка логина с невалидными логином и паролем","SauceDemo suite","2026-06-10","unknown","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCred"
"Проверка выполнения logout","1392","Проверка, что logout выполнен","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LogoutTest","Chrome","tests.LogoutTest","checkLogout"
"","571","checkLoginWithNegativeCred1","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCred1"
"Проверка логина с позитивным логином и паролем","602","Проверка логина с позитивным логином и паролем","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка checkout с пустым полем код","1046","Проверка checkout с пустым полем Код","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Chrome","tests.CheckoutInfoTest","checkCheckoutWithEmptyPostalCode"
"","597","checkLoginWithNegativeCred1","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCred1"
"Проверка логина с негативным логином и паролем","627","Проверка логина с пустым именем","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUserName"
"Проверка корзины после добавления товара","1440","Проверка товара, который был добавлен в корзину","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CartTest","Chrome","tests.CartTest","checkCart"
"Проверка overview с корректными данными для заказа","1063","Проверка overview с корректными данными для заказа","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Chrome","tests.CheckoutOverviewTest","checkOrderCompleteButton"
"Проверка логина с негативным логином и паролем","1","Проверка логина с невалидными логином и паролем","SauceDemo suite","2026-06-10","unknown","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNegativeCred"
